"","x_NMI","Building","number_of_people","pool","type_of_AC","No_of_AC","Ave.Daily.Usage"
"2",16254,"Apartment",1,"No","RCAC",1,8.12014285714286
"210",90141,"Double story",5,"No","EVAP",1,13.9177107438016
"3",90165,"Apartment",2,"No","EVAP",1,10.4700523415978
"4",90148,"Double story",6,"No","EVAP AND RCAC",3,17.8265702479339
"5",90085,"Double story",2,"No","None",0,5.04948767123287
"6",90093,"Double story",4,"No","RCAC",3,9.343
"7",90125,"Single Story",3,"No","RCAC",2,3.49113915857605
"8",90069,"Single Story",2,"Yes","RCAC",2,12.6457430939227
"9",90068,"Single Story",2,"No","RCAC",2,9.85928767123289
"10",14602,"Double story",3,"No","RCAC",3,5.22727397260274
"11",90064,"Single Story",4,"Yes","EVAP",1,18.5965808219178
"12",14581,"Single Story",4,"No","RCAC",2,6.80309677419355
"13",90104,"Single Story",2,"No","RCAC",3,15.0721208791209
"14",90034,"Double story",5,"No","RCAC",1,23.2213150684932
"15",85118,"Apartment",2,"No","RCAC",1,11.0185977961433
"16",12414,"Double story",2,"No","RCAC",4,17.1834575342466
"17",90031,"Single Story",2,"No","RCAC",2,16.0016712328767
"18",90143,"Apartment",3,"No","RCAC",2,11.5354517906336
"19",90014,"Single Story",5,"No","RCAC",3,10.4790672268908
"20",90023,"Single Story",4,"No","RCAC",2,5.01719178082192
"21",90013,"Double story",5,"No","RCAC",4,10.3499342465753
"22",90094,"Double story",2,"No","RCAC",1,11.8925580110497
"23",90090,"Double story",2,"No","None",0,15.6150904109589
"24",13961,"Apartment",2,"No","RCAC",2,7.89930958904109
"25",19416,"Single Story",4,"No","RCAC",2,12.9567479452055
"26",90115,"Double story",2,"Yes","RCAC",2,16.1544703196347
"27",90070,"Double story",2,"Yes","EVAP",1,16.5041452054795
"28",90072,"Double story",8,"Yes","EVAP",2,16.4464657534247
"29",90045,"Single Story",1,"No","RCAC",1,13.1973835616438
"30",90052,"Double story",4,"Yes","EVAP",1,35.8423534246575
"31",14366,"Single Story",2,"Yes","EVAP",1,15.0937916666667
"32",90053,"Single Story",2,"No","RCAC",1,15.1660886699507
"33",90169,"Double story",4,"No","RCAC",5,13.3062011019284
"34",90131,"Double story",2,"Yes","RCAC",1,11.4805592286501
"35",90111,"Double story",3,"No","EVAP",2,13.836402739726
"36",90029,"Apartment",2,"No","EVAP",1,7.01540740740741
"37",90144,"Double story",5,"Yes","RCAC",1,26.4588599348534
"38",90033,"Single Story",3,"No","RCAC",1,12.6944191780822
"39",90024,"Single Story",2,"No","RCAC",2,5.8773021978022
"40",90088,"Single Story",4,"No","RCAC",1,11.6244
"41",90076,"Double story",5,"No","RCAC",4,7.94306575342466
"42",6657,"Single Story",2,"No","None",0,9.93472328767124
"43",90162,"Double story",4,"No","RCAC",1,12.2835151515152
"44",90010,"Apartment",2,"No","RCAC",1,5.26817351598173
"45",90030,"Single Story",2,"No","RCAC",2,7.18973529411765
"46",90028,"Double story",4,"Yes","RCAC",2,14.9288438356164
"47",90018,"Double story",5,"No","EVAP AND RCAC",3,20.6595150684932
"48",90020,"Single Story",5,"No","RCAC",3,21.403504109589
"49",90120,"Single Story",2,"No","RCAC",1,7.26825205479452
"50",90071,"Single Story",5,"No","RCAC",3,6.6475641025641
"51",90016,"Single Story",4,"No","RCAC",1,10.0583369863014
"52",90129,"Single Story",2,"No","RCAC",1,10.1581597796143
"53",90105,"Single Story",2,"No","RCAC",1,6.66893424657534
"54",6694,"Single Story",3,"No","RCAC",1,6.49907352941177
"55",90128,"Single Story",4,"Yes","None",0,24.2568139534884
"56",90140,"Apartment",3,"No","RCAC",1,2.25438461538462
"57",90134,"Double story",4,"No","EVAP",1,26.4147520661157
"58",37049,"Single Story",2,"No","RCAC",1,15.5458794520548
"59",14196,"Double story",6,"No","EVAP AND RCAC",2,11.7539230769231
"61",6653,"Single Story",6,"No","EVAP",1,15.0376328767123
"62",90095,"Single Story",1,"Yes","RCAC",2,16.7539561643836
"63",90086,"Single Story",4,"No","RCAC",2,14.6896574585635
"64",90126,"Single Story",3,"No","EVAP",2,8.38631404958677
"65",90142,"Double story",5,"No","EVAP AND RCAC",3,14.0944615384615
"66",90079,"Single Story",3,"No","None",0,8.28902903225806
"67",90133,"Single Story",4,"No","EVAP",1,11.6914060773481
"68",74292,"Double story",5,"No","RCAC",5,17.5153168044077
